네,yes
에어컨,air conditioner
과거,the past
꺼내다,to pull, take out
후식,dessert
서쪽,the west
떠나다,to leave, depart
피아노,piano
계절,season
친하다,to be close, friendly, intimate with
규칙,rule, regulation
요리사,cook, chef
당연하다,to be reasonable, natural
중학교,middle school (junior high)
생활,life, living, livelihood
성,family name;castle;gender
외롭다,to be lonely
경찰서,police station
학기,semester
얻다,to get, to gain
아파트,apartment
소고기,beef
편리하다,to be convenient, handy
잎,leaf
최근,lately, most recently
시키다,to order, force someone
메시지,message
일부,part, section, portion
박물관,museum
느끼다,to feel, experience
정신,mind, spirit, soul
내용,contents, substance
현재,the present (tense)
걸어가다,to walk (somewhere)
카드,card
숨,breath, breathing
눕다,to lie down
분위기,atmosphere, mood
고등학교,high school
외식하다,to dine out
배추,Chinese cabbage
레슨,lesson
갖다주다,to bring over
중간,middle
메뉴,menu
세우다,to make something stand, erect;to stop, park;to set (up)
부분,part, portion
별,star
심심하다,to be bored
정보,information
소설,novel
자장면,Chinese dish of noodles in black soybean paste
다행이다,to be lucky, fortunate
의미,meaning, sense
수건,towel
고치다,to fix, repair
거울,mirror
사회,society, community
이용하다,to use, take advantage of
가지,kind (of), sort (of);branch, twig;eggplant
홍차,black tea
관계,relationship, connection
튼튼하다,to be strong, solid, healthy
휴일,public holiday
적,enemy, opponent, rival
되게,very, really, extremely
밉다,to be hateful, dislikeable;to be ugly
동물,animal
버섯,mushroom
비디오,video
복사하다,to reproduce, copy
돼지,pig
가까이,near (to), close;nearly
지우다,to erase, cross out;to wash off
초,seconds
미래,future
사귀다,to date, go out;to make friends with, keep company with
퍼센트,percent
술집,bar, pub
잃어버리다,to lose something (completely)
그저께,day before yesterday
문법,grammar
남기다,to leave behind, save
주차장,parking lot
매우,very, so, much
급하다,to be in a hurry, be urgent
매력,charm, attractiveness
입술,lips
사라지다,to disappear
사업,enterprise, business
아무데나,any place, anywhere
새롭다,to be new, fresh
편,side
넥타이,necktie
지나가다,to go through, pass
벌레,bug, insect
뉴욕,New York
졸리다,to feel sleepy
장미,rose
태권도,Taekwondo
잡수시다,to eat (hon.)
슈퍼마켓,supermarket
계란,egg
대단하다,to be great, tremendous;to be wonderful
약간,a little, slightly
칠판,blackboard
결정하다,to decide
성함,name (hon.)
운동화,sports shoes
부럽다,to be jealous, envious
목걸이,necklace
언젠가,someday
똑같다,to be exactly the same
연구,research
채소,vegetable
입원하다,to be hospitalized
가격,price
평소에,usually, ordinarily
풀다,to solve; untie
동사,verb
성격,character, personality
던지다,to throw
조용히,silently, quietly
대학,university
도망가다,to run away, escape
목적,purpose, aim, goal
한가지,the same;one thing, a kind, a sort
유리,glass
부드럽다,to be soft, smooth
더위,the heat
경우,case, circumstances, scenario
애인,lover, sweetheart
굽다,to bake, roast, toast;to be crooked, be bent
웬일,what matter, what cause
팔찌,bracelet
집중하다,to concentrate (upon)
꽤,substantially, fairly
장마,rainy season, rainy spell
대하다,to face, confront;to treat
결국,after all, finally, in the end
아주머니,middle aged woman;aunt
이마,forehead
따라가다,to follow, go after, tag along
인생,life (human)
귤,tangerine, mandarin
여전히,still, as ever
일으키다,to raise, set somebody upright
숫자,numbers
어쩌면,maybe
사건,incident, affair, event
가난하다,to be poor
센티미터,centimeter
설마,impossibly, can't be true
간식,snack
두다,to put, place, lay;to leave (behind, as is)
화장품,cosmetics
큰길,main road
좁다,to be narrow
죽,porridge, gruel;in a row
부인,[your] wife (hon.);woman, lady;denial, disapproval
도와주다,to help out, assist
예전,the old days; before
존댓말,polite/formal language (speech)
한잔하다,to have a drink
진심으로,sincerely, from one's heart
정치,politics
지다,to lose, be defeated;to be under an obligation
짓,act, behavior
명사,noun
위험하다,to be dangerous, risky
동네,neighborhood, village
좌석,seat
제발,please;by all means
찾아가다,to visit
시절,years (college years etc.), period of life
종일,all day long
정류장,stop, station (bus etc.)
취직하다,to get a job
덜,less
둘이,two people
미치다,to go mad, crazy;to reach
선배,senior (often at the same education- or workplace)
지역,area, region
알리다,to inform, let know, notify
용돈,pocket money, allowance
법,law
작가,writer, author
가능하다,to be possible
심장,the heart (in the body)
인형,doll, puppet
기사,news article;driver, chauffeur;engineer
잊어버리다,to forget (completely)
펜,pen
솔직히,honestly, frankly
순간,moment, instant
원하다,to want, wish, hope
월급,monthly salary
주제,subject, theme, topic
열리다,to be open, be opened
피,blood
식구,family, member of family
휴대전화,cell phone (2)
확인하다,to confirm, verify
관심,interest, concern
바보,fool, stupid person
숨다,to hide, disappear
상처,injury, wound, bruise
차이,difference
절대로,never;absolutely, completely
젖다,to get wet, soaked, be moistened
놈,guy;jerk
일단,once [something has happened];first (of several actions);for now
양복,suit
방송하다,to broadcast
중심,center, core, balance
결과,result
배부르다,to have a full stomach
출장,business trip
숲,forest
원래,originally, primarily
닮다,to resemble, be alike
한자,Chinese character
추위,cold weather
아시아,Asia
죽이다,to kill, murder;to hold back, suppress
귀걸이,earring
책임,responsibility;blame
실례,bad manners, rudeness
깨지다,to be broken, get broken
환자,patient (medical)
미리,in advance
왜냐하면,because, since
대다,to place, put;to feel, touch
인상,impression
동쪽,the east
대신하다,to take the place of, act as a substitute
세탁기,washing machine
바닥,floor, the bottom
그대로,as [it] is, intactly
뛰다,to jump;to run, dash
반대,reverse, opposite
지방,local area, region;fat
호랑이,tiger
부지런하다,to be hardworking, diligent
댁,house (hon.)
역시,too, also;as expected;<br />still
대학생,college student
뵙다,to see, meet (hon.)
습관,habit
건너편,the other side
대사관,embassy
생각나다,to come to mind, think of, remember
군인,military personnel, soldier
식탁,dining table
남학생,male student
구하다,to look for, seek;to rescue, save
여권,passport
테니스,tennis
갈색,light brown
젊다,to be young, youthful
광고,advertisement
경치,scene, scenery
찌개,stew
두껍다,to be thick, heavy
치약,toothpaste
경찰관,police officer
군대,army, troops
노트하다,to take notes
제목,title, name
가습기,humidifier
시대,period, era
위하다,to do for the sake of, on behalf of
샌드위치,sandwich
기업,enterprise, business
이상,more than, above;abnormality;ideal
꿈꾸다,to dream
모래,sand
결혼식,wedding ceremony
회색,gray
닿다,to reach, touch
활동,activity
대단히,very much, greatly, highly
인간,human being, mankind
움직이다,to move
쉽게,easily
정답,correct answer
여학생,female student
부끄럽다,to be shameful, disgraceful, ashamed;to be shy
아래층,downstairs
따로,separately;in addition
비밀번호,password, PIN
집다,to pick up
소녀,young girl
번역,translation
기계,machine
자연스럽다,to be natural
바닷가,beach, seaside
땀,sweat, perspiration
수영복,swimsuit
걸어오다,to come by foot
공짜,free (of charge)
고개,head, neck;hill
데리고가다,to bring someone to some place
해외,foreign country, overseas
출구,exit
추워지다,to become cold
모델,model
수첩,(pocket) notebook, personal organizer
경험하다,to experience
당장,on the spot, immediately
상품,prize;product, goods
세계,the world
선택하다,to choose, select
사촌,cousin
주로,mostly, mainly
키스,kiss
모으다,to collect, gather up
저번,last time, the other day
분홍색,pink
들리다,to be heard, to hear;to be lifted, be raised
떡,Korean rice cake
얼른,promptly, right away, quickly
심각하다,to be serious, grave, severe
손목,wrist
라디오,radio
계산하다,to calculate;to pay
다행히,fortunately
자식,one's children
넘다,to exceed;to climb (over)
원숭이,monkey
가요,song
높이,height;high, highly
올라오다,to come up
드디어,finally, at (long) last
개인,individual
공휴일,legal holiday, bank holiday
신나다,to be excited
별일,special event, unusual occurence
기술,skill, technique;description
자랑하다,to be proud (of), boast (about)
사계절,four seasons
전체,the whole, entire
취소하다,to cancel, withdraw
느리다,to be slow
조사,investigation, inquiry, survey;postposition;eulogy
바라다,to desire, wish, hope
새해,New Year
국제,international-
소개팅,blind date
정확하다,to be exact, correct, accurate
프로그램,program
표정,facial expression
공무원,public servant, government employee
신기하다,to be marvelous, wonderful, amazing
국물,soup, broth
대부분,greater part, mostly
민족,people, ethnic group
전공하다,to major in, specialize in
러시아,Russia
짐,load, burden, luggage, cargo
완전히,completely, entirely, fully
식다,to cool off, get cold
국수,noodles
현금,cash
조카,nephew, niece
환영하다,to welcome (somebody)
이메일,email
제대로,appropriately, properly
사자,lion
빼다,to pull out, extract;to subtract;to remove
자료,materials, data
무게,weight
대통령,president (of a country)
지루하다,to be boring
분명히,clearly, definitely
장학금,scholarship
고통,pain, suffering
찾아오다,to come see someone;to retrieve something
악기,musical instrument
식품,food items, groceries
세기,century
큰일나다,to be in big trouble
놀이,play, game, pastime
평일,weekday
기회,chance, opportunity
없어지다,to lose, be lost;to disappear
메모,memo, note
열,fever, heat;row, line, queue
발전,development, growth
검사하다,to examine, inspect
대구,Daegu
마당,yard, garden
소년,young boy
흐르다,to flow;to overflow;to elapse
우선,first of all
생명,life, soul
잔돈,change (money)
주차하다,to park
짧게,briefly
남,other people
예약,reservation, booking
아쉽다,to be sorry, sad
배구,volleyball
역할,role, part
빨강,red
따라오다,to follow, come with
여성,women
양파,onion
행동,behavior, action
웃기다,to amuse, to be funny
국내,inside country, domestic
겁,fear, fright
모양,shape
말리다,to dry;to make somebody stop doing something
고모,aunt (father's sister)
옷걸이,coat hanger
기간,period, term
관련하다,to be related to, connected with
꿀,honey
